ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214181_x_at	0.892	0.6031225	-0.5250505	-5.2086	-0.2970338	LST1	leukocyte specific transcript 1
221441_at	0.91	0.6508327	0.4568419	-5.2087	0.28678284	GSC2	goosecoid homeobox 2
217132_at	0.97	0.8610359	-0.1764536	-5.2088	-0.13659404		
220841_s_at	0.999	0.9941268	-0.007418	-5.2088	-0.00456835	AHI1	Abelson helper integration site 1
220438_at	0.993	0.9523169	0.0602623	-5.2088	0.04148505	QPCTL	glutaminyl-peptide cyclotransferase like
215981_at	0.973	0.8777812	-0.1550021	-5.2088	-0.0923149	LOC100505534	uncharacterized LOC100505534
221326_s_at	0.996	0.9773502	-0.0286111	-5.2088	-0.01918064	TUBD1	tubulin delta 1
222147_s_at	0.962	0.8313746	0.214664	-5.2088	0.14567442	ACTR5	ARP5 actin-related protein 5 homolog
207223_s_at	0.998	0.9896809	0.0130336	-5.2088	0.00874906	PTBP3	polypyrimidine tract binding protein 3
207378_at	0.997	0.9826735	-0.0218856	-5.2088	-0.01575905	TREH	trehalase
204452_s_at	0.986	0.9225585	0.0979715	-5.2089	0.05979158	FZD1	frizzled class receptor 1
205552_s_at	0.975	0.8846383	-0.1462397	-5.2089	-0.10212211	OAS1	2'-5'-oligoadenylate synthetase 1
39313_at	0.935	0.7288677	0.3496448	-5.209	0.27326931	WNK1	WNK lysine deficient protein kinase 1
210775_x_at	0.986	0.9193698	0.1020197	-5.209	0.06811423	CASP9	caspase 9
217686_at	0.962	0.8305997	0.2156663	-5.209	0.12385675	PTPN1	protein tyrosine phosphatase, non-receptor type 1
211397_x_at	0.97	0.8614415	-0.1759331	-5.209	-0.09237936	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
211656_x_at	0.883	0.5793442	-0.5599801	-5.209	-0.28114917	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1
205761_s_at	0.921	0.6860312	0.4078983	-5.2091	0.21276204	DUS4L	dihydrouridine synthase 4 like
208382_s_at	0.985	0.9173617	0.10457	-5.2091	0.07022335	DMC1	DNA meiotic recombinase 1
214723_x_at	0.854	0.5041118	-0.6755622	-5.2091	-0.30195148	ANKRD36	ankyrin repeat domain 36
208155_x_at	0.939	0.7443233	0.3289325	-5.2092	0.17696737	GAGE12D///GAGE12F///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE1	G antigen 12D///G antigen 12F///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 1
207247_s_at	0.997	0.9823769	-0.0222602	-5.2092	-0.01598142	ZFY///ZFX	zinc finger protein, Y-linked///zinc finger protein, X-linked
217920_at	0.954	0.801493	-0.2534876	-5.2092	-0.16257281	MAN1A2	mannosidase alpha class 1A member 2
207089_at	1	0.9969472	0.0038558	-5.2092	0.00304753	NRAP	nebulin related anchoring protein
203325_s_at	0.961	0.8301101	-0.2162998	-5.2092	-0.12762149	COL5A1	collagen type V alpha 1 chain
