ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1242491CB1_PROBE1	1.72e-09	2.16e-11	10.4361556	16.059746	2.85503005	LRRK2	leucine rich repeat kinase 2
AK021692_PROBE1	1.73e-09	2.22e-11	10.425092	16.045288	1.68348348	INSIG2	insulin induced gene 2
NM_006793.1_PROBE1	1.73e-09	2.20e-11	10.4292232	16.043079	1.57448791	PRDX3	peroxiredoxin 3
2828551CB1_PROBE1	1.77e-09	2.27e-11	10.4143047	16.020501	1.99634471	POLK	DNA polymerase kappa
NM_005999.1_PROBE1	1.87e-09	2.41e-11	10.3886906	15.956737	2.15894445	TSNAX	translin associated factor X
474273.5_PROBE1	1.88e-09	2.43e-11	10.3838235	15.942001	1.59112197	AZI2	5-azacytidine induced 2
1381955CB1_PROBE1	1.89e-09	2.47e-11	10.3774131	15.940185	1.85520423	SIRT1	sirtuin 1
1501397.8_PROBE1	1.89e-09	2.47e-11	10.3773134	15.928639	2.09067436	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
AF052159_PROBE1	1.90e-09	2.50e-11	10.3722499	15.925001	1.46345221	HACD2	3-hydroxyacyl-CoA dehydratase 2
347748.5_PROBE1	1.99e-09	2.64e-11	10.3473867	15.864597	2.60413908	CASC4	cancer susceptibility candidate 4
NM_032991.1_PROBE1	1.95e-09	2.58e-11	10.35844	15.86116	1.97143955	CASP3	caspase 3
NM_003205.2_PROBE1	2.01e-09	2.68e-11	10.3413635	15.861027	1.36366592	TCF12	transcription factor 12
AK001541_PROBE1	2.04e-09	2.72e-11	10.334435	15.842721	2.17918221		
441273.1_PROBE1	2.04e-09	2.75e-11	10.3286255	15.827564	2.10354315		
NM_003400.2_PROBE1	2.04e-09	2.75e-11	10.3299829	15.822903	1.68735604	XPO1	exportin 1
X59405_PROBE1	2.19e-09	2.96e-11	10.2957566	15.752267	2.3304668	CD46	CD46 molecule
1501054.6_PROBE1	2.19e-09	2.97e-11	10.2942343	15.748218	1.57130206	SFT2D1	SFT2 domain containing 1
NM_018299.1_PROBE1	2.24e-09	3.05e-11	10.2830491	15.720931	1.95790788	UBE2W	ubiquitin conjugating enzyme E2 W (putative)
NM_000584.1_PROBE1	2.33e-09	3.19e-11	10.2631835	15.686074	2.77384285	CXCL8	C-X-C motif chemokine ligand 8
201042.1_PROBE2	2.34e-09	3.22e-11	10.2588242	15.677564	2.12600118		
NM_014016.1_PROBE1	2.37e-09	3.31e-11	10.2473367	15.652503	1.86186414	SACM1L	SAC1 suppressor of actin mutations 1-like (yeast)
NM_024967.1_PROBE1	2.37e-09	3.31e-11	-10.2464103	15.646789	-1.08879154	ZNF556	zinc finger protein 556
NM_003916.1_PROBE1	2.37e-09	3.29e-11	10.2495531	15.645905	1.76296107	AP1S2	adaptor related protein complex 1 sigma 2 subunit
NM_015317.1_PROBE1	2.37e-09	3.32e-11	10.2460713	15.640385	1.34887911	PUM2	pumilio RNA binding family member 2
NM_014393.1_PROBE1	2.42e-09	3.41e-11	10.2342032	15.623726	2.01471889	STAU2	staufen double-stranded RNA binding protein 2
232562.1_PROBE1	2.42e-09	3.41e-11	10.2336766	15.61272	2.30446288	PI4K2B	phosphatidylinositol 4-kinase type 2 beta
972113.2_PROBE1	2.42e-09	3.43e-11	10.2314406	15.602756	2.05089806	PPIL3	peptidylprolyl isomerase like 3
139900.1_PROBE1	2.47e-09	3.52e-11	10.2202394	15.586435	1.84864884		
480951.23_PROBE1	2.46e-09	3.50e-11	10.222471	15.584782	1.75545581	YPEL5	yippee like 5
2932211CB1_PROBE1	2.48e-09	3.56e-11	10.2144888	15.573193	1.75064522	TRMT1L	tRNA methyltransferase 1 like
1449606.3_PROBE1	2.48e-09	3.55e-11	10.2154546	15.568007	1.87792028	GTF2A1	general transcription factor IIA subunit 1
138634CB1_PROBE1	2.49e-09	3.61e-11	10.2080904	15.565374	1.89163581	APOD	apolipoprotein D
NM_019018.1_PROBE1	2.49e-09	3.60e-11	10.2093334	15.55262	1.45470363	FAM105A	family with sequence similarity 105 member A
233441.1_PROBE1	2.49e-09	3.60e-11	10.2097713	15.552361	1.55378382	TMEM55A	transmembrane protein 55A
337657.5_PROBE1	2.50e-09	3.64e-11	10.204589	15.543452	1.39936681		
332052.3_PROBE1	2.55e-09	3.74e-11	10.1927163	15.530047	2.03092369	PHF6	PHD finger protein 6
NM_000855.1_PROBE1	2.55e-09	3.75e-11	-10.1912575	15.528478	-1.29814562	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2
NM_016654.1_PROBE1	2.57e-09	3.82e-11	10.1840576	15.511809	1.71352636	GABPB1	GA binding protein transcription factor beta subunit 1
4723028CB1_PROBE1	2.57e-09	3.81e-11	10.184484	15.507478	2.46091031	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
